Año,Fecha de inicio de las capturas,Horario de inicio de capturas,Fecha de finalización de capturas,Horario de finalización de capturas,Horas totales de capturas,Número de Redes,Superfici de captura en m2 (Aprox),numero total de peces capturados,Eff: horas * superficie,CPUE * 1000
2017,15/03/2017,10:30:00,18/03/2017,10:00:00,71.5,2,250,2,17875,0.111888112
2017,18/03/2017,10:30:00,21/03/2017,10:00:00,48,2,250,3,12000,0.25
2017,21/03/2017,10:30:00,24/03/2017,15:30:00,77,2,250,10,19250,0.519480519
2017,24/03/2017,16:00:00,26/03/2017,17:00:00,49,2,250,1,12250,0.081632653
2017,26/03/2017,17:30:00,29/03/2017,10:00:00,64.5,2,250,4,16125,0.248062016
2017,29/03/2017,10:00:00,2/04/2017,10:30:00,96.5,2,250,2,24125,0.082901554
2017,28/09/2017,12:00:00,1/10/2017,11:00:00,71,2,250,17,17750,0.957746479
2017,1/10/2017,12:00:00,3/10/2017,15:00:00,51,2,250,4,12750,0.31372549
2017,3/10/2017,16:00:00,7/10/2017,11:39:00,91.5,2,250,1,22875,0.043715847
2017,7/10/2017,12:00:00,11/10/2017,10:30:00,94.5,2,250,0,23625,0
2017,11/10/2017,11:00:00,17/10/2018,13:30:00,146.5,2,250,9,36625,0.245733788
2017,17/10/2017,14:00:00,8/11/2017,12:30:00,525.5,2,250,1,131375,0.007611798
2017,8/11/2017,13:00:00,21/11/2017,14:00:00,313,2,250,0,78250,0
2017,21/11/2017,14:30:00,28/11/2017,10:00:00,163.5,2,250,0,40875,0
2017,16/12/2017,17:00:00,19/12/2017,14:00:00,69,2,250,2,17250,0.115942029
2018,19/01/2018,8:30:00,29/01/2018,10:00:00,241.5,2,250,17,60375,0.281573499
2018,29/01/2018,11:30:00,5/02/2018,9:30:00,166,1,125,7,20750,0.337349398
2018,5/02/2018,10:00:00,12/02/2018,12:50:00,170.5,4,500,3,85250,0.035190616
2018,12/02/2018,10:00:00,19/02/2018,10:00:00,168,3,375,1,63000,0.015873016
2018,19/02/2018,11:00:00,26/02/2018,10:00:00,167,3,375,2,62625,0.031936128
2018,26/02/2018,11:00:00,12/03/2018,10:00:00,311,3,375,0,116625,0
2018,12/03/2018,11:00:00,19/03/2018,15:00:00,172,2,250,0,43000,0
2018,19/03/2018,16:00:00,26/03/2018,10:00:00,162,3,375,2,60750,0.032921811
2018,26/03/2018,11:00:00,3/04/2018,10:00:00,192,3,375,0,72000,0
2018,17/04/2018,14:00:00,23/04/2018,14:00:00,168,3,375,3,63000,0.047619048
2018,23/04/2018,14:00:00,2/05/2018,14:00:00,240,3,375,2,90000,0.022222222
2018,8/09/2018,12:10:00,13/09/2018,11:00:00,119,1,125,0,14875,0
2018,13/09/2018,11:00:00,27/09/2018,12:20:00,335,2,250,0,83750,0
2018,27/09/2018,12:20:00,4/10/2018,11:30:00,167,2,250,8,41750,0.191616766
