Fecha,Longitud total (cm),Longitud furcal (cm), Longitud estandar (cm),Longitud dorso - ventral,Peso (kg),,
22/10/2016,78.5,78,72.5,23,8,,
22/10/2016,43.5,42,39,10.5,0.8,,
22/10/2016,43,42,38.5,10,0.75,,
22/10/2016,62,60,55,14.5,3,,
22/10/2016,45,43,40,11.5,1,,
22/10/2016,51,48,44.5,12,1.2,,
22/10/2016,47,46,42.5,11,1.2,,
22/10/2016,44.5,43.5,40,11.5,1,,
22/10/2016,39.5,39,35.5,9.5,0.5,,
22/10/2016,40.5,39,36.5,10,0.45,,
22/10/2016,42.5,41,38.5,11,1,,
22/10/2016,35.5,34.5,32,9.5,0.3,,
22/10/2016,37,35.5,33.5,9.5,0.2,,
22/10/2016,39.5,38.5,35.7,9.5,0.2,,
22/10/2016,38.5,38,35.5,10,0.3,,
27/10/2016,42,41,37,9.5,0.9,,
27/10/2016,67,66.5,62,12.5,4,,
27/10/2016,52,49,46,12,1.1,,
27/10/2016,38,36.5,34,9,0.3,,
27/10/2016,36.5,36,33,9,0.2,,
27/10/2016,47,44.5,42.5,10.5,1.1,,
27/10/2016,40.5,39,36,10,0.4,,
27/10/2016,46.5,45,41.5,9,1,,
27/10/2016,42,40.5,37,9,0.9,,
27/10/2016,41,39.5,36,9.5,0.8,,
28/09/2017,50,47,42,10,1,,
28/09/2017,49,48,43,11,1,,
28/09/2017,42,40,37,9,0.8,,
28/09/2017,44,41,39,9,1,,
28/09/2017,45,42,40,11,1,,
28/09/2017,43,40,38,9.5,1,,
28/09/2017,42,41,38,9.5,0.9,,
28/09/2017,47,46,42,8,1,,
28/09/2017,47.5,46,43,10.5,1,,
28/09/2017,45,44,40,10,1,,
28/09/2017,48,47,43,11.5,1,,
28/09/2017,44,43,40,10,1.2,,
28/09/2017,45,44,41,11,1.4,,
28/09/2017,49,48,44,12,1.7,,
28/09/2017,46,45,43,10,1,,
28/09/2017,42,41,39,10.5,1,,
28/09/2017,49.5,48.5,44,12,1.8,,
1/10/2017,47,43,40,10,1,,
1/10/2017,48,44,42,11,1,,
1/10/2017,43.5,39.5,39,10,0.9,,
1/10/2017,43.5,41.5,40,10,0.9,,
3/10/2017,44.5,43,40,10.3,0.8,,
11/10/2017,48,47,44,11,1.1,,
11/10/2017,50,49,45.5,11.5,1.3,,
11/10/2017,48.5,46.5,43,11.5,1.1,,
11/10/2017,44,42.5,40,10,0.9,,
11/10/2017,43,41,38.5,9.5,0.8,,
11/10/2017,43.5,43,40.5,9.7,0.9,,
1/12/2018,50,,,,,,
1/12/2018,42,,,,,,
22/12/2018,33,,,,,,
22/12/2018,35,,,,,,
29/12/2018,48,,,,,,
19/01/2019,54,,,,,,
27/02/2019,45,,,,,,
11/04/2019,45,,,,,,
21/12/2019,36,,,,,,
21/12/2019,35,,,,,,
21/12/2019,35.5,,,,,,
21/12/2019,38,,,,,,
5/01/2020,36,,,,,,
5/01/2020,43,,,,,,
19/01/2020,40.5,,,,,,
19/01/2020,42.34,,,,,,
19/01/2020,36.5,,,,,,
19/01/2020,37.5,,,,,,
19/01/2020,34,,,,,,
19/01/2020,33,,,,,,
19/01/2020,34.5,,,,,,
19/01/2020,33,,,,,,
9/02/2020,39.7,,,,,,
9/02/2020,35.5,,,,,,
9/02/2020,37.06,,,,,,
23/02/2020,40.4,,,,,,
3/01/2021,49,,,,,,
3/01/2021,43,,,,,,
3/01/2021,38,,,,,,
3/01/2021,26,,,,,,
17/01/2021,42,,,,,,
17/01/2021,41,,,,,,
17/01/2021,39,,,,,,
17/01/2021,35,,,,,,
17/01/2021,35,,,,,,
17/01/2021,27,,,,,,
17/01/2021,25,,,,,,
17/01/2021,25,,,,,,
17/01/2021,25,,,,,,
17/01/2021,25,,,,,,
31/01/2021,38,,,,,,
31/01/2021,45,,,,,,
31/01/2021,40,,,,,,
31/01/2021,39,,,,,,
31/01/2021,37,,,,,,
1/04/2021,48,,,,,,
1/04/2021,44,,,,,,
1/04/2021,40,,,,,,
1/04/2021,27,,,,,,
1/04/2021,25,,,,,,
1/04/2021,25,,,,,,
